Country,Country Speed,Mirror Name,Protocols,Hostnames,Mirror Speed,Status
Argentina,21 Gbps,ClearNet S.A.,"https://mirrors.dc.clear.net.ar/ubuntu/, http://mirrors.dc.clear.net.ar/ubuntu/",mirrors.dc.clear.net.ar,10 Gbps,Up to date
Argentina,21 Gbps,SiTSA Telecomunicaciones,"https://mirror.sitsa.com.ar/ubuntu/, http://mirror.sitsa.com.ar/ubuntu/",mirror.sitsa.com.ar,10 Gbps,Up to date
Argentina,21 Gbps,Zero.com.ar,"https://ubuntu.zero.com.ar/ubuntu/, http://ubuntu.zero.com.ar/ubuntu/, rsync://ubuntu.zero.com.ar/ubuntu/",ubuntu.zero.com.ar,1 Gbps,Up to date
Argentina,21 Gbps,Universidad Nacional de Córdoba,http://ubuntu.unc.edu.ar/ubuntu/,ubuntu.unc.edu.ar,10 Mbps,Up to date
Armenia,12 Gbps,ASNET-AM,http://mirrors.asnet.am/ubuntu/,mirrors.asnet.am,10 Gbps,Up to date
Armenia,12 Gbps,GNC-ALFA CJSC,http://ubuntu.mirror.gnc.am/ubuntu/,ubuntu.mirror.gnc.am,2 Gbps,Up to date
Australia,176 Gbps,AARNet Pty Ltd,"http://mirror.aarnet.edu.au/pub/ubuntu/archive/, ftp://mirror.aarnet.edu.au/pub/ubuntu/archive/, rsync://mirror.aarnet.edu.au/ubuntu/archive/",mirror.aarnet.edu.au,50 Gbps,Up to date
Australia,176 Gbps,Global Secure Layer,"https://mirror.gsl.icu/ubuntu/, http://mirror.gsl.icu/ubuntu/, rsync://mirror.gsl.icu/ubuntu/",mirror.gsl.icu,50 Gbps,Up to date
Australia,176 Gbps,Internet Association of Australia Inc.,"https://mirror.internet.asn.au/pub/ubuntu/archive/, http://mirror.internet.asn.au/pub/ubuntu/archive/, rsync://mirror.internet.asn.au/ubuntu-archive/",mirror.internet.asn.au,20 Gbps,Up to date
Australia,176 Gbps,Digital Pacific / Hostopia Australia,"https://ubuntu.mirror.digitalpacific.com.au/archive/, http://ubuntu.mirror.digitalpacific.com.au/archive/, rsync://mirror.digitalpacific.com.au/ubuntu/archive/","ubuntu.mirror.digitalpacific.com.au, mirror.digitalpacific.com.au",20 Gbps,Up to date
Australia,176 Gbps,DataMossa,"https://mirror.datamossa.io/ubuntu/archive/, http://mirror.datamossa.io/ubuntu/archive/, rsync://mirror.datamossa.io/ubuntu/archive/",mirror.datamossa.io,10 Gbps,Up to date
Australia,176 Gbps,Real World Group,"https://mirror.realcompute.io/ubuntu/, http://mirror.realcompute.io/ubuntu/, rsync://mirror.realcompute.io/ubuntu/",mirror.realcompute.io,10 Gbps,Up to date
Australia,176 Gbps,Servers Australia,"https://ubuntu.mirror.serversaustralia.com.au/ubuntu/, http://ubuntu.mirror.serversaustralia.com.au/ubuntu/, rsync://ubuntu.mirror.serversaustralia.com.au/ubuntu/",ubuntu.mirror.serversaustralia.com.au,10 Gbps,Up to date
Australia,176 Gbps,iiNet,"http://ftp.iinet.net.au/pub/ubuntu/, ftp://ftp.iinet.net.au/pub/ubuntu, rsync://ftp.iinet.net.au/ubuntu/",ftp.iinet.net.au,1 Gbps,Up to date
Australia,176 Gbps,Hostcentral,"http://mirror.as24220.net/pub/ubuntu-archive/, ftp://mirror.as24220.net/pub/ubuntu-archive/, rsync://mirror.as24220.net/ubuntu-archive/",mirror.as24220.net,1 Gbps,Up to date
Australia,176 Gbps,Hostcentral,"http://mirror.as24220.net/pub/ubuntu/, ftp://mirror.as24220.net/pub/ubuntu/, rsync://mirror.as24220.net/ubuntu/",mirror.as24220.net,1 Gbps,Up to date
Australia,176 Gbps,Internode,"http://mirror.internode.on.net/pub/ubuntu/ubuntu/, ftp://mirror.internode.on.net/pub/ubuntu/ubuntu/, rsync://mirror.internode.on.net/ubuntu/",mirror.internode.on.net,1 Gbps,Up to date
Australia,176 Gbps,Netspace Online Systems,"http://mirror.netspace.net.au/pub/ubuntu/, ftp://mirror.netspace.net.au/pub/ubuntu/",mirror.netspace.net.au,1 Gbps,Up to date
Australia,176 Gbps,Over The Wire,"http://mirror.overthewire.com.au/ubuntu/, ftp://mirror.overthewire.com.au/ubuntu/",mirror.overthewire.com.au,1 Gbps,Up to date
Austria,51 Gbps,Alwyzon,"https://mirror.alwyzon.net/ubuntu/, http://mirror.alwyzon.net/ubuntu/",mirror.alwyzon.net,20 Gbps,Up to date
Austria,51 Gbps,Easyname GmbH,"http://mirror.easyname.at/ubuntu-archive/, ftp://mirror.easyname.at/ubuntu-archive/, rsync://mirror.easyname.at/ubuntu-archive/",mirror.easyname.at,20 Gbps,Up to date
Austria,51 Gbps,ANEXIA Internetdienstleistungs GmbH,"https://ubuntu.anexia.at/ubuntu/, http://ubuntu.anexia.at/ubuntu/, rsync://ubuntu.anexia.at/ubuntu/",ubuntu.anexia.at,10 Gbps,Up to date
Austria,51 Gbps,Linz Strom Gas Wärme GmbH,"http://ubuntu.lagis.at/ubuntu/, ftp://ubuntu.lagis.at/ubuntu/, rsync://ubuntu.lagis.at/ubuntu/",ubuntu.lagis.at,1 Gbps,Up to date
Austria,51 Gbps,University of Klagenfurt,"http://ubuntu.uni-klu.ac.at/ubuntu/, ftp://ubuntu.uni-klu.ac.at/linux/ubuntu/",ubuntu.uni-klu.ac.at,100 Mbps,Up to date
Azerbaijan,15 Gbps,Delta Telecom,http://mirror.datacenter.az/ubuntu/,mirror.datacenter.az,10 Gbps,Up to date
Azerbaijan,15 Gbps,Azertelecom,"http://aze.archive.ubuntu.com/ubuntu/, ftp://aze.archive.ubuntu.com/ubuntu/, rsync://aze.archive.ubuntu.com/ubuntu/",aze.archive.ubuntu.com,4 Gbps,Up to date
Azerbaijan,15 Gbps,Yer.Az,"https://mirror.yer.az/ubuntu/archive/, http://mirror.yer.az/ubuntu/archive/",mirror.yer.az,1 Gbps,Up to date
Bangladesh,20 Gbps,Limda Host,"https://mirror.limda.net/ubuntu-archive/, http://mirror.limda.net/ubuntu-archive/, rsync://mirror.limda.net/ubuntu-archive/",mirror.limda.net,10 Gbps,Up to date
Bangladesh,20 Gbps,XeonBD,"https://mirror.xeonbd.com/ubuntu-archive/, http://mirror.xeonbd.com/ubuntu-archive/",mirror.xeonbd.com,10 Gbps,Up to date
Belarus,4 Gbps,"RUE Beltelecom, MGTS","http://ftp.byfly.by/ubuntu/, ftp://ftp.byfly.by/ubuntu/, rsync://ftp.byfly.by/ubuntu/",ftp.byfly.by,2 Gbps,Up to date
Belarus,4 Gbps,"Rue Beltelecom, Datacenter","http://mirror.datacenter.by/ubuntu/, ftp://mirror.datacenter.by/ubuntu/",mirror.datacenter.by,2 Gbps,Up to date
